ra,dec,vmag,colour
126.4343594,-66.13652042,3.77,FFFFFFFF
91.53900939,-66.03968885,5.72,FFFFFFFF
216.7796384,-65.82161161,5.87,FFFFFFFF
152.178491,-65.81553262,5.26,FFFFFFFF
86.19341279,-65.7355408,4.34,FFFFFFFF
181.5961827,-65.70942594,5.95,FFFFFFFF
124.5782399,-65.6132455,5.06,FFFFFFFF
92.81256272,-65.58970507,5.01,FFFFFFFF
359.978792,-65.57707774,4.49,FFFFFFFF
248.9365457,-65.49532908,5.50,FFFFFFFF
10.61790472,-65.46813002,5.38,FFFFFFFF
236.9712309,-65.44218988,5.54,FFFFFFFF
174.8734708,-65.3977489,5.01,FFFFFFFF
321.6103839,-65.36814438,4.21,FFFFFFFF
197.0298289,-65.30601741,5.44,FFFFFFFF
177.963637,-65.20589445,4.89,FFFFFFFF
160.0477648,-65.10024026,5.51,FFFFFFFF
282.158158,-65.07748945,5.71,FFFFFFFF
146.7755734,-65.07201888,2.92,FFFFFFFF
239.7423322,-65.03756903,5.74,FFFFFFFF
220.6278543,-64.97456957,3.18,FFFFFFFF
336.8328045,-64.96637927,4.51,FFFFFFFF
170.8392975,-64.95473134,5.09,FFFFFFFF
281.3619008,-64.87089771,4.78,FFFFFFFF
56.04814541,-64.80709398,3.84,FFFFFFFF
266.4333435,-64.7237345,3.61,FFFFFFFF
327.5005433,-64.7124436,5.62,FFFFFFFF
154.771331,-64.67628786,5.66,FFFFFFFF
181.7202202,-64.61363898,4.14,FFFFFFFF
126.4650703,-64.60065452,5.95,FFFFFFFF
169.8201814,-64.58259742,5.99,FFFFFFFF
205.0450086,-64.57655426,5.79,FFFFFFFF
280.9054949,-64.55131121,5.76,FFFFFFFF
201.0018474,-64.53561699,4.52,FFFFFFFF
231.8879207,-64.531457,5.71,FFFFFFFF
161.5690769,-64.51458587,5.33,FFFFFFFF
201.308899,-64.48509219,5.32,FFFFFFFF
160.5589334,-64.4664538,4.76,FFFFFFFF
356.0501088,-64.40453515,5.73,FFFFFFFF
160.739278,-64.39447937,2.74,FFFFFFFF
161.7135174,-64.38349702,4.87,FFFFFFFF
21.27198122,-64.3694363,5.92,FFFFFFFF
179.6986198,-64.33955671,5.59,FFFFFFFF
359.3957156,-64.29808259,5.00,FFFFFFFF
161.623379,-64.26326386,5.23,FFFFFFFF
160.9633938,-64.24905176,5.74,FFFFFFFF
