object_id,object_category,object_type,dec,ra,proper_names,bayer_designation,flamsteed_designation,hipparcos_number,hd_number,messier_number,caldwell_number,ngc_number,ic_number,constellations_abbreviations,mag,bv,distance,colour
26595,Star,Unknown,23.13885753,84.40242012,,,,26441,,,,,,Tau,8.74,0.052,,
26596,Star,Unknown,-4.93412286,84.40313419,,,,26442,,,,,,Ori,7.15,-0.161,,
26597,Star,Unknown,48.82862161,84.40383033,,,,26443,,,,,,Aur,10.7,,,
26598,Star,Unknown,6.11200612,84.40451903,,,,26444,,,,,,Ori,7.64,0.578,,
26599,Star,Unknown,2.31790646,84.40458377,,,,26445,,,,,,Ori,10.36,0.222,,
26600,Star,Unknown,-8.20038832,84.40488702,,,,26446,,,,,,Ori,7.7,0.2,,
26601,Star,Unknown,15.24462316,84.40701603,,,,26447,,,,,,Ori,7.44,1.043,,
26602,Star,Unknown,-3.65492751,84.40894507,,,,26448,,,,,,Ori,9.81,0.069,,
26603,Star,Unknown,23.14745332,84.40915067,,,,26449,,,,,,Tau,9.05,0.127,,
26604,Star,Unknown,2.32152666,84.41014523,,,,26450,,,,,,Ori,8.65,0.152,,
26605,Star,Unknown,21.14254914,84.4111907,Tianguan,zet Tau,123 Tau,26451,,,,,,Tau,2.97,-0.148,,
26606,Star,Unknown,68.73517926,84.41486775,,,,26452,,,,,,Cam,9.6,0.513,,
26607,Star,Unknown,-53.53536771,84.41488037,,,,26454,,,,,,Pic,7.42,0.131,,
26608,Star,Unknown,-28.62629515,84.41511245,,,,26453,,,,,,Col,7.26,0.404,,
26609,Star,Unknown,58.54912364,84.41746334,,,,26455,,,,,,Cam,8.55,0.1,,
26610,Star,Unknown,-2.44356535,84.41864389,,,,26456,,,,,,Ori,8.52,0.062,,
26611,Star,Unknown,-26.71807792,84.42277545,,,,26457,,,,,,Lep,7.52,0.36,,
26612,Star,Unknown,-49.58053335,84.42578103,,,,26458,,,,,,Pic,9.19,0.507,,
26613,Star,Unknown,-34.97161231,84.43469698,,,,26459,,,,,,Col,9.35,0.646,,
26614,Star,Unknown,-28.68969042,84.43590756,,nu02 Col,,26460,,,,,,Col,5.28,0.486,,
26615,Star,Unknown,58.36870351,84.43607443,,,,26461,,,,,,Cam,8.99,1.146,,
26616,Star,Unknown,-54.56670626,84.4401004,,,,26462,,,,,,Pic,10.47,0.721,,
26617,Star,Unknown,33.55916717,84.44086175,,,,26463,,,,,,Aur,6.36,1.306,,
26618,Star,Unknown,-0.77825757,84.44121365,,,,26464,,,,,,Ori,7.61,-0.125,,
26619,Star,Unknown,-41.16301769,84.44910307,,,,26465,,,,,,Col,7.96,0.546,,
26620,Star,Unknown,-34.68969448,84.4503652,,,,26466,,,,,,Col,6.57,1.269,,
26621,Star,Unknown,2.74638419,84.45093884,,,,26467,,,,,,Ori,9.17,0.332,,
26622,Star,Unknown,-54.56422788,84.45115251,,,,26468,,,,,,Pic,7.72,0.764,,
26623,Star,Unknown,3.32520339,84.45869711,,,,26469,,,,,,Ori,9.34,0.385,,
26624,Star,Unknown,-54.81644963,84.4587752,,,,26470,,,,,,Pic,8.3,1.064,,
26625,Star,Unknown,0.31731048,84.45939249,,,,26471,,,,,,Ori,7.82,0.3,,
26626,Star,Unknown,2.73933911,84.4602294,,,,26472,,,,,,Ori,10.09,0.474,,
26627,Star,Unknown,-28.93735235,84.46122549,,,,26473,,,,,,Col,7.43,1.216,,
26628,Star,Unknown,71.65437344,84.46726409,,,,26474,,,,,,Cam,6.62,0.872,,
26629,Star,Unknown,15.91589368,84.47214527,,,,26475,,,,,,Tau,8.31,0.541,,
26630,Star,Unknown,-4.81403405,84.47243952,,,,26477,,,,,,Ori,6.16,-0.029,,
26631,Star,Unknown,0.96860981,84.47272678,,,,26476,,,,,,Ori,7.47,-0.081,,
26632,Star,Unknown,-39.80224389,84.47368634,,,,26478,,,,,,Col,8.24,0.547,,
26633,Star,Unknown,-35.19942397,84.48024285,,,,26479,,,,,,Col,9.15,1.41,,
26634,Star,Unknown,7.24873934,84.48161359,,,,26480,,,,,,Ori,9.09,0.499,,
26635,Star,Unknown,0.98742111,84.48438395,,,,26481,,,,,,Ori,8.03,-0.13,,
26636,Star,Unknown,35.60415178,84.48946639,,,,26482,,,,,,Aur,7.24,1.063,,
26637,Star,Unknown,-61.49307296,84.49102802,,,,26483,,,,,,Dor,8.3,1.136,,
26638,Star,Unknown,22.46521503,84.49357562,,,,26484,,,,,,Tau,8.99,0.165,,
26639,Star,Unknown,59.36442854,84.5029415,,,,26485,,,,,,Cam,7.95,0.087,,
26640,Star,Unknown,78.35855693,84.5048328,,,,26486,,,,,,Cam,7.73,0.48,,
26641,Star,Unknown,7.54141958,84.50466286,,,,26487,,,,,,Ori,5.87,-0.061,,
26642,Star,Unknown,-42.96348453,84.50781899,,,,26488,,,,,,Col;Pic,7.43,0.6,,
26643,Star,Unknown,-64.90935108,84.5090633,,,,26489,,,,,,Dor,9.42,0.256,,
26644,Star,Unknown,46.20891831,84.51564023,,,,26490,,,,,,Aur,8.44,0.267,,
26645,Star,Unknown,44.5819488,84.5165116,,,,26491,,,,,,Aur,9.13,0.264,,
26646,Star,Unknown,6.53451564,84.52239804,,,,26492,,,,,,Ori,10.9,0.127,,
26647,Star,Unknown,-14.75615303,84.52265845,,,,26493,,,,,,Lep,8.33,1,,
26648,Star,Unknown,-0.18429414,84.52714593,,,,26494,,,,,,Ori,7.46,-0.028,,
26649,Star,Unknown,-27.2107488,84.5287675,,,,26495,,,,,,Col;Lep,6.53,1.574,,
26650,Star,Unknown,-41.65090778,84.5300071,,,,26496,,,,,,Col,8.71,0.893,,
26651,Star,Unknown,-7.75380814,84.53190943,,,,26497,,,,,,Ori,9.62,0.223,,
26652,Star,Unknown,59.82557279,84.53689319,,,,26498,,,,,,Cam,9.19,1.153,,
26653,Star,Unknown,-47.7142892,84.53736142,,,,26499,,,,,,Pic,7.62,1.078,,
26654,Star,Unknown,-0.18216224,84.53843943,,,,26500,,,,,,Ori,8.56,0.135,,
26655,Star,Unknown,-46.10603694,84.53912392,,,,26501,,,,,,Pic,7.33,0.769,,
26656,Star,Unknown,-60.05913644,84.54487814,,,,26502,,,,,,Pic,8.64,0.376,,
26657,Star,Unknown,50.5322641,84.55056245,,,,26503,,,,,,Aur,8.08,0.367,,
26658,Star,Unknown,-18.71337449,84.55139194,,,,26504,,,,,,Lep,8.62,1.054,,
26659,Star,Unknown,51.44574005,84.54942299,,,,26505,,,,,,Aur,7.74,0.834,,
26660,Star,Unknown,35.97723508,84.55343531,,,,26506,,,,,,Aur,9.61,0.661,,
26661,Star,Unknown,-44.09023977,84.55451403,,,,26507,,,,,,Pic,9.09,0.326,,
26662,Star,Unknown,-1.16917634,84.55723062,,,,26508,,,,,,Ori,6.84,-0.152,,
26663,Star,Unknown,-39.32301122,84.5587225,,,,26509,,,,,,Col,8.45,0.003,,
26664,Star,Unknown,-4.1082331,84.56372639,,,,26510,,,,,,Ori,6.86,0.129,,
26665,Star,Unknown,-14.34132603,84.56723771,,,,26511,,,,,,Lep,8.31,0.439,,
26666,Star,Unknown,1.98785141,84.56726417,,,,26512,,,,,,Ori,7.41,0.995,,
26667,Star,Unknown,4.93395925,84.56753565,,,,26513,,,,,,Ori,7.93,0.182,,
26668,Star,Unknown,-59.11656069,84.56832203,,,,26514,,,,,,Pic,7.04,0.07,,
26669,Star,Unknown,-50.640995,84.57258442,,,,26515,,,,,,Pic,6.43,-0.047,,
26670,Star,Unknown,-42.60943503,84.57421549,,,,26516,,,,,,Col,9.67,1.001,,
26671,Star,Unknown,69.39939467,84.58594157,,,,26517,,,,,,Cam,8.45,1.695,,
26672,Star,Unknown,8.48730962,84.5905664,,,,26518,,,,,,Ori,6.72,1.184,,
26673,Star,Unknown,51.08970506,84.59242746,,,,26519,,,,,,Aur,8.92,0.24,,
26674,Star,Unknown,18.13621292,84.5985348,,,,26520,,,,,,Tau,9.33,0.6,,
26675,Star,Unknown,-54.95417499,84.60726595,,,,26521,,,,,,Pic,7.15,1.459,,
26676,Star,Unknown,4.24533451,84.60953568,,,,26522,,,,,,Ori,9.94,0.264,,
26677,Star,Unknown,-61.16700178,84.61033527,,,,26523,,,,,,Dor,8.08,-0.042,,
26678,Star,Unknown,-5.04468324,84.61257883,,,,26524,,,,,,Ori,7.64,0.318,,
26679,Star,Unknown,24.99199406,84.61848118,,,,26525,,,,,,Tau,9.56,0.666,,
26680,Star,Unknown,-0.14778708,84.63055634,,,,26526,,,,,,Ori,8.61,-0.024,,
26681,Star,Unknown,33.28652226,84.63259951,,,,26527,,,,,,Aur,9.7,0.1,,
26682,Star,Unknown,-28.83649871,84.63822843,,,,26528,,,,,,Col,7.97,0.417,,
26683,Star,Unknown,49.98283229,84.64004149,,,,26529,,,,,,Aur,8.5,0.225,,
26684,Star,Unknown,-6.16388343,84.64469649,,,,26530,,,,,,Ori,8.23,0.035,,
26685,Star,Unknown,-41.29649676,84.65195946,,,,26531,,,,,,Col,7.93,0.435,,
