object_id,object_category,object_type,dec,ra,proper_names,bayer_designation,flamsteed_designation,hipparcos_number,hd_number,messier_number,caldwell_number,ngc_number,ic_number,constellations_abbreviations,mag,bv,distance,colour,object_type_text
169,Deepsky,PlanetaryNebula,-18.63333333,156.2,Ghost of Jupiter,,,,,,59,3242,,Hya,8.6,,1400,6BFFBFFF,Planetary Nebula
170,Deepsky,Galaxy,-18.86666667,180.475,Antennae Galaxies,,,,,,60,4038,,Crv,11.3,,83000000,6BFFBFFF,Spiral Galaxy
171,Deepsky,Galaxy,-18.88333333,180.475,Antennae Galaxies,,,,,,61,4039,,Crv,13,,83000000,6BFFBFFF,Spiral Galaxy
172,Deepsky,Galaxy,-20.76666667,11.775,,,,,,,62,247,,Cet,8.9,,6800000,6BFFBFFF,Spiral Galaxy
173,Deepsky,PlanetaryNebula,-20.8,337.4,Helix Nebula,,,,,,63,7293,,Aqr,6.5,,522,6BFFBFFF,Planetary Nebula
174,Deepsky,OpenCluster,-24.95,109.7,,,,,,,64,2362,,CMa,4.1,,5100,6BFFBFFF,Open Cluster
175,Deepsky,Galaxy,-25.28333333,11.9,Sculptor Galaxy,,,,,,65,253,,Scl,7.1,,9800000,6BFFBFFF,Spiral Galaxy
176,Deepsky,GlobularCluster,-26.53333333,219.9,,,,,,,66,5694,,Hya,10.2,,113000,6BFFBFFF,Globular Cluster
177,Deepsky,Galaxy,-30.28333333,41.575,,,,,,,67,1097,,For,9.2,,47000000,6BFFBFFF,Barred Spiral Galaxy
178,Deepsky,Nebula,-36.95,285.475,,,,,,,68,6729,,CrA,9.7,,424,6BFFBFFF,Blushing Nebula
179,Deepsky,PlanetaryNebula,-37.1,258.425,Bug Nebula,,,,,,69,6302,,Sco,12.8,,5200,6BFFBFFF,Planetary Nebula
180,Deepsky,Galaxy,-37.68333333,13.725,,,,,,,70,300,,Scl,8.1,,3900000,6BFFBFFF,Spiral Galaxy
181,Deepsky,OpenCluster,-38.55,118.075,,,,,,,71,2477,,Pup,5.8,,3700,6BFFBFFF,Open Cluster
182,Deepsky,Galaxy,-39.18333333,3.725,,,,,,,72,55,,Scl,8.2,,4200000,6BFFBFFF,Barred Spiral Galaxy
183,Deepsky,GlobularCluster,-40.05,78.525,,,,,,,73,1851,,Col,7.3,,39400,6BFFBFFF,Globular Cluster
184,Deepsky,PlanetaryNebula,-40.43333333,151.925,Eight Burst Nebula,,,,,,74,3132,,Vel,8.2,,2000,6BFFBFFF,Planetary Nebula
185,Deepsky,OpenCluster,-40.66666667,246.4,,,,,,,75,6124,,Sco,5.8,,1500,6BFFBFFF,Open Cluster
186,Deepsky,OpenCluster,-41.8,253.5,,,,,,,76,6231,,Sco,2.6,,6000,6BFFBFFF,Open Cluster
187,Deepsky,Galaxy,-43.01666667,201.375,Centaurus A,,,,,,77,5128,,Cen,7,,16000000,6BFFBFFF,Lenticular Galaxy
188,Deepsky,GlobularCluster,-43.7,272,,,,,,,78,6541,,CrA,6.6,,22300,6BFFBFFF,Globular Cluster
189,Deepsky,GlobularCluster,-46.41666667,154.4,,,,,,,79,3201,,Vel,6.7,,17000,6BFFBFFF,Globular Cluster
190,Deepsky,GlobularCluster,-47.48333333,201.7,Omega Centauri,,,,,,80,5139,,Cen,3.6,,17300,6BFFBFFF,Globular Cluster
191,Deepsky,GlobularCluster,-48.41666667,261.375,,,,,,,81,6352,,Ara,8.1,,18600,6BFFBFFF,Globular Cluster
192,Deepsky,OpenCluster,-48.76666667,250.325,,,,,,,82,6193,,Ara,5.2,,4300,6BFFBFFF,Open Cluster
193,Deepsky,Galaxy,-49.46666667,196.35,,,,,,,83,4945,,Cen,9.5,,17000000,6BFFBFFF,Spiral Galaxy
194,Deepsky,GlobularCluster,-51.36666667,206.6,,,,,,,84,5286,,Cen,7.6,,36000,6BFFBFFF,Globular Cluster
195,Deepsky,OpenCluster,-53.06666667,130.05,Omicron Vel Cluster,,,,,,85,,2391,Vel,2.5,,500,6BFFBFFF,Open Cluster
196,Deepsky,GlobularCluster,-53.66666667,265.175,,,,,,,86,6397,,Ara,5.6,,7500,6BFFBFFF,Globular Cluster
197,Deepsky,GlobularCluster,-55.21666667,48.075,,,,,,,87,1261,,Hor,8.4,,55500,6BFFBFFF,Globular Cluster
198,Deepsky,OpenCluster,-55.6,226.425,,,,,,,88,5823,,Cir,7.9,,3400,6BFFBFFF,Open Cluster
199,Deepsky,OpenCluster,-57.9,244.725,S Norma Cluster,,,,,,89,6087,,Nor,5.4,,3300,6BFFBFFF,Open Cluster
200,Deepsky,PlanetaryNebula,-58.31666667,140.35,,,,,,,90,2867,,Car,9.7,,5500,6BFFBFFF,Planetary Nebula
201,Deepsky,OpenCluster,-58.66666667,166.6,,,,,,,91,3532,,Car,3,,1600,6BFFBFFF,Open Cluster
202,Deepsky,Nebula,-59.86666667,160.95,Eta Carinae Nebula,,,,,,92,3372,,Car,6.2,,7500,6BFFBFFF,Blushing Nebula
203,Deepsky,GlobularCluster,-59.98333333,287.725,,,,,,,93,6752,,Pav,5.4,,13000,6BFFBFFF,Globular Cluster
204,Deepsky,OpenCluster,-60.33333333,193.4,Jewel Box,,,,,,94,4755,,Cru,4.2,,4900,6BFFBFFF,Open Cluster
205,Deepsky,OpenCluster,-60.5,240.925,,,,,,,95,6025,,TrA,5.1,,2500,6BFFBFFF,Open Cluster
206,Deepsky,OpenCluster,-60.86666667,119.575,,,,,,,96,2516,,Car,3.8,,1300,6BFFBFFF,Open Cluster
207,Deepsky,OpenCluster,-61.61666667,174.025,,,,,,,97,3766,,Cen,5.3,,5800,6BFFBFFF,Open Cluster
208,Deepsky,OpenCluster,-62.96666667,190.575,,,,,,,98,4609,,Cru,6.9,,4200,6BFFBFFF,Open Cluster
209,Deepsky,DarkNebula,-63,193.25,Coalsack Nebula,,,,,,99,,,Cru,,,610,6BFFBFFF,Dark Nebula
210,Deepsky,OpenCluster,-63.03333333,174.15,Lambda Centauri Nebula,,,,,,100,,2944,Cen,4.5,,6000,6BFFBFFF,Open Cluster
211,Deepsky,Galaxy,-63.85,287.45,,,,,,,101,6744,,Pav,9,,34000000,6BFFBFFF,Barred Spiral Galaxy
212,Deepsky,OpenCluster,-64.4,160.8,Theta Car Cluster,,,,,,102,,2602,Car,1.9,,492,6BFFBFFF,Open Cluster
213,Deepsky,Nebula,-69.1,84.675,Tarantula Nebula,,,,,,103,2070,,Dor,1,,170000,6BFFBFFF,Blushing Nebula
214,Deepsky,GlobularCluster,-70.85,15.8,,,,,,,104,362,,Tuc,6.6,,27700,6BFFBFFF,Globular Cluster
215,Deepsky,GlobularCluster,-70.88333333,194.9,,,,,,,105,4833,,Mus,7.3,,19600,6BFFBFFF,Globular Cluster
216,Deepsky,GlobularCluster,-72.08333333,6.025,47 Tucanae,,,,,,106,104,,Tuc,4,,14700,6BFFBFFF,Globular Cluster
217,Deepsky,GlobularCluster,-72.2,246.45,,,,,,,107,6101,,Aps,9.3,,49900,6BFFBFFF,Globular Cluster
218,Deepsky,GlobularCluster,-72.66666667,186.45,,,,,,,108,4372,,Mus,7.8,,18900,6BFFBFFF,Globular Cluster
219,Deepsky,PlanetaryNebula,-80.86666667,152.375,,,,,,,109,3195,,Cha,11.6,,5400,6BFFBFFF,Planetary Nebula
