object_id,object_category,object_type,dec,ra,proper_names,bayer_designation,flamsteed_designation,hipparcos_number,hd_number,messier_number,caldwell_number,ngc_number,ic_number,constellations_abbreviations,mag,bv,distance,colour,object_type2
77,Deepsky,Galaxy,0.01666667,40.675,Cetus A,,,,,77,,1068,,Cet,8.9,,60000000,6BEEFFFF,Spiral Galaxy
78,Deepsky,Galaxy,0.05,86.675,,,,,,78,,2068,,Ori,8.3,,1600,6BEEFFFF,Diffuse Nebula
79,Deepsky,Galaxy,-24.55,81.125,,,,,,79,,1904,,Lep,7.7,,41100,6BEEFFFF,Globular Cluster
80,Deepsky,Galaxy,-22.98333333,244.25,,,,,,80,,6093,,Sco,7.3,,27400,6BEEFFFF,Globular Cluster
81,Deepsky,Galaxy,69.06666667,148.9,Bode's Galaxy,,,,,81,,3031,,UMa,6.9,,12000000,6BEEFFFF,Spiral Galaxy
82,Deepsky,Galaxy,69.68333333,148.95,Cigar Galaxy,,,,,82,,3034,,UMa,8.4,,12000000,6BEEFFFF,Irregular Galaxy
83,Deepsky,Galaxy,-29.86666667,204.25,Southern Pinwheel Galaxy,,,,,83,,5236,,Hya,7.6,,15000000,6BEEFFFF,Spiral Galaxy
84,Deepsky,Galaxy,12.88333333,186.275,,,,,,84,,4374,,Vir,9.1,,60000000,6BEEFFFF,Lenticular (S0) Galaxy
85,Deepsky,Galaxy,18.18333333,186.35,,,,,,85,,4382,,Com,9.1,,60000000,6BEEFFFF,Lenticular (S0) Galaxy
86,Deepsky,Galaxy,12.95,186.55,,,,,,86,,4406,,Vir,8.9,,60000000,6BEEFFFF,Lenticular (S0) Galaxy
87,Deepsky,Galaxy,12.4,187.7,Vir A,,,,,87,,4486,,Vir,8.6,,60000000,6BEEFFFF,Elliptical Galaxy
88,Deepsky,Galaxy,14.41666667,188,,,,,,88,,4501,,Com,9.6,,60000000,6BEEFFFF,Spiral Galaxy
89,Deepsky,Galaxy,12.55,188.925,,,,,,89,,4552,,Vir,9.8,,60000000,6BEEFFFF,Elliptical Galaxy
90,Deepsky,Galaxy,13.16666667,189.2,,,,,,90,,4569,,Vir,9.5,,60000000,6BEEFFFF,Spiral Galaxy
91,Deepsky,Galaxy,14.5,188.85,,,,,,91,,4548,,Com,10.2,,60000000,6BEEFFFF,Spiral Galaxy
92,Deepsky,Galaxy,43.13333333,259.275,,,,,,92,,6341,,Her,6.4,,26400,6BEEFFFF,Globular Cluster
93,Deepsky,Galaxy,-23.86666667,116.15,,,,,,93,,2447,,Pup,6,,3600,6BEEFFFF,Open Cluster
94,Deepsky,Galaxy,41.11666667,192.725,,,,,,94,,4736,,CVn,8.2,,14500000,6BEEFFFF,Spiral Galaxy
95,Deepsky,Galaxy,11.7,161,,,,,,95,,3351,,Leo,9.7,,38000000,6BEEFFFF,Spiral Galaxy
96,Deepsky,Galaxy,11.81666667,161.7,,,,,,96,,3368,,Leo,9.2,,38000000,6BEEFFFF,Spiral Galaxy
97,Deepsky,Galaxy,55.01666667,168.7,Owl Nebula,,,,,97,,3587,,UMa,9.9,,2600,6BEEFFFF,Planetary Nebula
98,Deepsky,Galaxy,14.9,183.45,,,,,,98,,4192,,Com,10.1,,60000000,6BEEFFFF,Spiral Galaxy
99,Deepsky,Galaxy,14.41666667,184.7,,,,,,99,,4254,,Com,9.9,,60000000,6BEEFFFF,Spiral Galaxy
