object_id,hip_id,ra,dec,vmag,bv,name,bayer,flamsteed,constellations
0,327,1.04622014,-4.92611155,9.56,0.39,,,,
0,328,1.04959221,-30.13491284,7.09,-0.085,,,,
0,329,1.05172922,-10.14111743,9.83,0.699,,,,
0,330,1.05692695,62.2876637,5.9,0.274,,,9 Cas,
0,331,1.05953277,-26.95238535,10.8,0.882,,,,
0,332,1.0610331,-34.41471581,8.41,0.563,,,,
0,333,1.06301316,-17.42489042,9.05,0.16,,,,
0,334,1.06383501,60.15501525,8.79,0.08,,,,
0,335,1.06606995,14.08153769,8.88,0.253,,,,
0,336,1.06663178,65.15298677,7.59,1.68,,,,
0,337,1.06688604,-25.9154517,9.6,0.75,,,,
0,338,1.06734521,66.34912577,10.66,1.45,,,,
0,339,1.06881767,-59.31519061,8.55,0.037,,,,
0,340,1.07385149,-43.98845664,8.11,0.484,,,,
0,341,1.07749703,-23.25396474,9.44,1.069,,,,
0,342,1.07905906,-20.56887147,9.6,0.549,,,,
0,343,1.08247517,-16.52903618,5.78,1.084,,,,
0,344,1.08363478,40.10994839,10.66,1.5,,,,
0,345,1.08465585,-29.2688217,6.38,0.006,,,,
0,346,1.08805508,-53.90943409,8.8,1.031,,,,
0,347,1.08872964,54.27459115,7.79,-0.089,,,,
0,348,1.089593,12.95729244,8.6,0.64,,,,
0,349,1.09545206,-29.3815729,7.77,-0.058,,,,
0,350,1.09914303,-57.32269441,10.37,1.1,,,,
0,351,1.10366923,-47.06804775,9.8,0.855,,,,
0,352,1.1121099,58.06869221,10.42,0.8,,,,
0,353,1.11182891,-44.56728958,11.63,0.971,,,,
0,354,1.12335143,51.8292916,9.22,1.001,,,,
0,355,1.12549376,-10.5095233,4.99,1.619,,,3 Cet,
0,356,1.12559774,-6.9653791,8.43,0.611,,,,
0,357,1.12728753,-72.89732067,7.33,0.444,,,,
0,358,1.13951816,-76.34649206,8.93,1.025,,,,
0,359,1.14616857,-76.87357395,9.09,0.639,,,,
0,360,1.14548856,71.96854327,9.26,1.162,,,,
0,361,1.14788399,-71.69500601,8.73,1.036,,,,
0,362,1.15061437,-19.43789263,9.18,1.169,,,,
0,363,1.15169409,43.55131238,8.12,2.53,,,,
0,364,1.15202694,-15.88922835,9.26,1.149,,,,
0,366,1.15250006,-31.16904991,8.94,1.181,,,,
0,365,1.15244468,42.09253054,6.11,0.159,,,,
0,367,1.15563591,-81.34531802,9.13,0.239,,,,
0,368,1.15612611,2.93722808,7.9,1.249,,,,
0,369,1.15889005,29.72227976,9.34,0.95,,,,
0,370,1.15943973,-51.58332894,7.13,1.26,,,,
0,371,1.16039064,-50.03592514,10.82,1.021,,,,
0,372,1.16620281,-70.40426031,7.46,1.072,,,,
0,373,1.1659828,-8.18495322,8.72,1.508,,,,
0,374,1.16699797,34.26512413,7.02,1.1,,,,
0,375,1.16765668,34.27136004,9.08,,,,,
0,376,1.17139606,6.52244947,8.37,0.881,,,,
0,377,1.17211746,-71.43689145,5.59,-0.1,,,,
0,378,1.17193795,14.96523349,7.37,0.422,,,,
0,379,1.17492163,67.16644546,5.68,1.051,,,,
0,380,1.17814951,17.06973501,8.56,0.792,,,,
0,381,1.18522671,51.53383785,8.72,-0.014,,,,
0,382,1.18810893,-32.36104539,9.06,0.368,,,,
0,383,1.18888047,0.05650223,8.82,0.433,,,,
0,384,1.19281581,1.53689469,8.18,0.376,,,,
0,385,1.19522269,38.17366822,9.39,0.735,,,,
0,386,1.20394238,68.1886943,9.1,0.652,,,,
0,387,1.20813156,38.78621378,8.46,0.556,,,,
0,388,1.21023433,6.41665232,9.15,0.394,,,,
0,389,1.21177087,-29.63303898,8.28,0.002,,,,
0,390,1.21173505,50.23487154,11.67,,,,,
0,391,1.21165132,43.97071886,8.18,0.43,,,,
0,392,1.21671568,30.08584979,7.93,0.478,,,,
0,393,1.21837159,51.98258613,9.21,0.964,,,,
0,394,1.22400057,34.65979682,6.09,0.632,,,,
0,395,1.22221243,-30.25660367,8.31,0.036,,,,
