names,messier,caldwell,ngc,ic,type,constellation,ra,dec,mag,distance,colour
,,88,5823,,Open Cluster,Cir,226.425,-55.6,7.9,3400,6BFFBFFF
S Norma Cluster,,89,6087,,Open Cluster,Nor,244.725,-57.9,5.4,3300,6BFFBFFF
,,90,2867,,Planetary Nebula,Car,140.35,-58.31666667,9.7,5500,6BFFBFFF
,,91,3532,,Open Cluster,Car,166.6,-58.66666667,3,1600,6BFFBFFF
Eta Carinae Nebula,,92,3372,,Blushing Nebula,Car,160.95,-59.86666667,6.2,7500,6BFFBFFF
,,93,6752,,Globular Cluster,Pav,287.725,-59.98333333,5.4,13000,6BFFBFFF
Jewel Box,,94,4755,,Open Cluster,Cru,193.4,-60.33333333,4.2,4900,6BFFBFFF
,,95,6025,,Open Cluster,TrA,240.925,-60.5,5.1,2500,6BFFBFFF
,,96,2516,,Open Cluster,Car,119.575,-60.86666667,3.8,1300,6BFFBFFF
,,97,3766,,Open Cluster,Cen,174.025,-61.61666667,5.3,5800,6BFFBFFF
,,98,4609,,Open Cluster,Cru,190.575,-62.96666667,6.9,4200,6BFFBFFF
Coalsack Nebula,,99,-,,Dark Nebula,Cru,193.25,-63,-,610,6BFFBFFF
Lambda Centauri Nebula,,100,IC 2944,,Open Cluster,Cen,174.15,-63.03333333,4.5,6000,6BFFBFFF
,,101,6744,,Barred Spiral Galaxy,Pav,287.45,-63.85,9,34000000,6BFFBFFF
Theta Car Cluster,,102,IC 2602,,Open Cluster,Car,160.8,-64.4,1.9,492,6BFFBFFF
Tarantula Nebula,,103,2070,,Blushing Nebula,Dor,84.675,-69.1,1,170000,6BFFBFFF
,,104,362,,Globular Cluster,Tuc,15.8,-70.85,6.6,27700,6BFFBFFF
,,105,4833,,Globular Cluster,Mus,194.9,-70.88333333,7.3,19600,6BFFBFFF
47 Tucanae,,106,104,,Globular Cluster,Tuc,6.025,-72.08333333,4,14700,6BFFBFFF
,,107,6101,,Globular Cluster,Aps,246.45,-72.2,9.3,49900,6BFFBFFF
,,108,4372,,Globular Cluster,Mus,186.45,-72.66666667,7.8,18900,6BFFBFFF
,,109,3195,,Planetary Nebula,Cha,152.375,-80.86666667,11.6,5400,6BFFBFFF
