names,messier,ngc,ic,object_type,constellation,ra,dec,mag,distance,colour
,M79,NGC 1904,,Globular Cluster,Lepus,81.125,-24.55,7.7,41100,6BEEFFFF
,M80,NGC 6093,,Globular Cluster,Scorpius,244.25,-22.98333333,7.3,27400,6BEEFFFF
Bode's Galaxy,M81,NGC 3031,,Spiral Galaxy,Ursa Major,148.9,69.06666667,6.9,12000000,6BEEFFFF
Cigar Galaxy,M82,NGC 3034,,Irregular Galaxy,Ursa Major,148.95,69.68333333,8.4,12000000,6BEEFFFF
Southern Pinwheel Galaxy,M83,NGC 5236,,Spiral Galaxy,Hydra,204.25,-29.86666667,7.6,15000000,6BEEFFFF
,M84,NGC 4374,,Lenticular (S0) Galaxy,Virgo,186.275,12.88333333,9.1,60000000,6BEEFFFF
,M85,NGC 4382,,Lenticular (S0) Galaxy,Coma Berenices,186.35,18.18333333,9.1,60000000,6BEEFFFF
,M86,NGC 4406,,Lenticular (S0) Galaxy,Virgo,186.55,12.95,8.9,60000000,6BEEFFFF
Virgo A,M87,NGC 4486,,Elliptical Galaxy,Virgo,187.7,12.4,8.6,60000000,6BEEFFFF
,M88,NGC 4501,,Spiral Galaxy,Coma Berenices,188,14.41666667,9.6,60000000,6BEEFFFF
,M89,NGC 4552,,Elliptical Galaxy,Virgo,188.925,12.55,9.8,60000000,6BEEFFFF
,M90,NGC 4569,,Spiral Galaxy,Virgo,189.2,13.16666667,9.5,60000000,6BEEFFFF
,M91,NGC 4548,,Spiral Galaxy,Coma Berenices,188.85,14.5,10.2,60000000,6BEEFFFF
,M92,NGC 6341,,Globular Cluster,Hercules,259.275,43.13333333,6.4,26400,6BEEFFFF
,M93,NGC 2447,,Open Cluster,Puppis,116.15,-23.86666667,6,3600,6BEEFFFF
,M94,NGC 4736,,Spiral Galaxy,Canes Venatici,192.725,41.11666667,8.2,14500000,6BEEFFFF
,M95,NGC 3351,,Spiral Galaxy,Leo,161,11.7,9.7,38000000,6BEEFFFF
,M96,NGC 3368,,Spiral Galaxy,Leo,161.7,11.81666667,9.2,38000000,6BEEFFFF
Owl Nebula,M97,NGC 3587,,Planetary Nebula,Ursa Major,168.7,55.01666667,9.9,2600,6BEEFFFF
,M98,NGC 4192,,Spiral Galaxy,Coma Berenices,183.45,14.9,10.1,60000000,6BEEFFFF
,M99,NGC 4254,,Spiral Galaxy,Coma Berenices,184.7,14.41666667,9.9,60000000,6BEEFFFF
,M100,NGC 4321,,Spiral Galaxy,Coma Berenices,185.725,15.81666667,9.3,60000000,6BEEFFFF
Pinwheel Galaxy,M101,NGC 5457,,Spiral Galaxy,Ursa Major,210.8,54.35,7.9,27000000,6BEEFFFF
Spindle Galaxy,M102,NGC 5866,,Lenticular (S0) Galaxy,Draco,226.625,55.76666667,9.9,40000000,6BEEFFFF
,M103,NGC 581,,Open Cluster,Cassiopeia,23.3,60.7,7.4,8000,6BEEFFFF
Sombrero Galaxy,M104,NGC 4594,,Spiral Galaxy,Virgo,190,-11.61666667,8,50000000,6BEEFFFF
,M105,NGC 3379,,Elliptical Galaxy,Leo,161.95,12.58333333,9.3,38000000,6BEEFFFF
,M106,NGC 4258,,Spiral Galaxy,Canes Venatici,184.75,47.3,8.4,25000000,6BEEFFFF
,M107,NGC 6171,,Globular Cluster,Ophiuchus,248.125,-13.05,7.9,19600,6BEEFFFF
,M108,NGC 3556,,Spiral Galaxy,Ursa Major,167.875,55.66666667,10,45000000,6BEEFFFF
,M109,NGC 3992,,Spiral Galaxy,Ursa Major,179.4,53.38333333,9.8,55000000,6BEEFFFF
Satellite of M31,M110,NGC 205,,Elliptical Galaxy,Andromeda,10.1,41.68333333,8.5,2900000,6BEEFFFF
